sbj,b0_sp,b0_ac,delta,t0_sp,t0_ac,G2,BIC
processed_500Hz_0001_epo,0.6019780356813094,0.739300701979436,0.10077195237623682,0.29900048540445207,0.38121562138974163,268.94896153260987,295.1045046168828
processed_500Hz_0002_epo,0.5,0.7478763177714832,0.502666475042739,0.291437461231594,0.28656497519337276,151.3474360521215,177.66088699664593
processed_500Hz_0003_epo,0.5147251126619851,0.9525220620473362,0.6754639842053761,0.2766911761667365,0.31471020589360854,205.01303763033027,230.9219553817907
processed_500Hz_0004_epo,0.5989939616106851,0.6602296743004094,0.6782020309540573,0.41572861845826015,0.506832575716003,155.18070181166138,180.52522282276254
processed_500Hz_0005_epo,0.5,0.6426907710502358,0.5471154310034141,0.28599988615633254,0.2973505578969249,66.58280175563175,92.63023251983886
processed_500Hz_0006_epo,0.5029253977179712,0.8581018508073202,0.9332967518129394,0.4235185286069056,0.44129991432898946,122.1962418670783,148.10515961853872
processed_500Hz_0007_epo,0.5,0.7932507949419629,0.7205173840693544,0.2789452758381443,0.3958796602972851,128.24906759996827,154.3508467253599
processed_500Hz_0008_epo,0.7140353371050912,0.7713671652648841,0.28483387070297306,0.27760178464849944,0.38456376030908096,298.2732959526159,324.01076833668316
processed_500Hz_0009_epo,0.5578538565030056,0.7049805617157081,0.49032187239773806,0.2650000079118344,0.5370011430439819,206.3634863261177,232.67693727064213
processed_500Hz_0010_epo,0.569577525932618,0.7453147678864954,0.4258724550010905,0.2836849451867472,0.6825006809660048,224.1648307027638,250.15731585909293
processed_500Hz_0011_epo,0.605333839789338,0.7790750439117294,0.5618548859866694,0.3080002229375585,0.4474100540605892,247.47335887922432,273.52078964343144
processed_500Hz_0012_epo,0.5091978219210211,0.7030825147169802,0.7775952175005549,0.265000621606767,0.4189966479590792,137.86372469226654,163.80065372147033
processed_500Hz_0013_epo,0.830241399957693,0.8231946894826931,0.3888444826075024,0.30569741781658805,0.8308648854525464,414.61615601272024,440.5809402671713
processed_500Hz_0014_epo,0.5,0.6948430014954569,0.9087465240427814,0.26999992107784654,0.4533893499002183,71.36482429453812,97.07314207705143
processed_500Hz_0015_epo,0.5749453850014226,0.7712726193530003,0.5425612095084305,0.2776672218720817,0.5767476933819097,242.35604628142514,268.66949722594956
processed_500Hz_0016_epo,0.5,0.7926335067525861,0.3178519055819307,0.3170000505486437,0.4751571999674581,190.6307074233259,216.91818428346483
processed_500Hz_0017_epo,0.5461324324534783,0.5543220872688245,1.4519300795618493,0.4800591565445981,0.5451910553468496,-30.978032809701805,-4.82248972542887
processed_500Hz_0018_epo,0.5081117939458023,0.7680003770286871,0.42625609852088214,0.3213970893079848,0.47112311463978224,203.53852978580443,229.7207395999542
processed_500Hz_0019_epo,0.5702982472717001,0.9415932732680894,0.2231105916315123,0.2630000033230179,0.3723994721988181,336.45223564975083,362.4996664139579
processed_500Hz_0020_epo,0.5,0.7279187553474199,0.5706380097250983,0.26499999732379115,0.383000070374944,102.73426920603876,128.35408910305506
processed_500Hz_0021_epo,0.5252462341816342,0.8432307366809874,0.4288452966144409,0.28768561455005887,0.3147106052807806,233.0409481559107,259.22315797006047
processed_500Hz_0022_epo,0.5,0.8876219872282726,0.28607746483008956,0.27800000078356274,0.43511637984743706,236.90764055282284,263.0898503669726
processed_500Hz_0023_epo,0.529130237554539,0.6595915284152254,0.4077578632957605,0.2760302280100994,0.43488214021187865,174.9587248981402,201.1674599734384
processed_500Hz_0024_epo,0.5097903593295807,0.6118294159429357,1.3780843946270969,0.274942443208978,0.40073373484943864,-9.194850380383633,16.424969516632657
processed_500Hz_0025_epo,0.5500867490878754,0.7682883081069326,0.5266214136016216,0.32872465486070246,0.3844148503482477,197.1345110417276,223.12699619805673
