sbj,b0_sp,b0_ac,delta,t0_sp,t0_ac,sigma_sp,sigma_ac,G2,BIC
processed_500Hz_0001_epo,0.5621523043410206,0.670455646532388,0.10066037431192067,0.32024260211338546,0.4256541289075324,0.2133830127993521,0.28246218001470186,-36.980858045637206,-0.36309772765509507
processed_500Hz_0002_epo,0.5,0.674241420368251,0.4925496095956932,0.28790276266752746,0.3282199793615928,0.23628469789806716,0.4703278630379719,-59.22482578076941,-22.385994458435206
processed_500Hz_0003_epo,0.5177074901435753,0.7404620126493145,0.7311490032951321,0.2754850193978588,0.5292513980718025,0.20382090742634448,0.23025112542609982,-149.07143152883404,-112.79894667678944
processed_500Hz_0004_epo,0.6644544992849414,0.6845527959767718,0.6700318656973152,0.3730001140502247,0.49007626212058697,0.41432083121862723,0.3484274481755416,-20.475780491956442,15.006548923585179
processed_500Hz_0005_epo,0.5000000006608837,0.5102523518919911,0.5700229782115566,0.2716250897765768,0.4144271249939042,0.2549517522060233,0.22674384637699457,-333.6690673094792,-297.20266423958924
processed_500Hz_0006_epo,0.5200415915813202,0.8574446733919617,0.9333636760855256,0.4149999997661805,0.44174006990694414,0.6292055926195806,0.4545833480616364,-37.50398112171675,-1.2314962696721494
processed_500Hz_0007_epo,0.5,0.7585571040023368,0.7119369839587841,0.27551303430980895,0.41764171410427614,0.33410538327155437,0.334179706300562,-159.68436909478285,-123.14187831923458
processed_500Hz_0008_epo,0.7131458404176356,0.7346326104582239,0.28414927326359646,0.2783774027889709,0.4113104674031673,0.3356171793628947,0.2615401121422298,8.796469341167183,44.828930678861354
processed_500Hz_0009_epo,0.556088323095574,0.7059782158775072,0.4904293663182134,0.26599983662234417,0.5362945359233848,0.29279376929565426,0.2670791123354801,-129.34260846199433,-92.50377713966013
processed_500Hz_0010_epo,0.5364846039414632,0.821684776118174,0.4370215055609016,0.30215328435598166,0.6209999773248076,0.23713401020801966,0.23340785763113336,-88.90539127597027,-52.51591205710949
processed_500Hz_0011_epo,0.651547662195266,0.7402312043783683,0.5430926004715738,0.2756247431426465,0.4706396304513175,0.26173695198432745,0.2073927893621351,-141.81460125989625,-105.3481981900063
processed_500Hz_0012_epo,0.5178313110977782,0.6888031336708319,0.7717577674285935,0.2599999983938801,0.4270644189418089,0.25334691644036306,0.22345078208724137,-265.21655494224916,-228.90485430136388
processed_500Hz_0013_epo,0.8064528513280214,1.019867515340152,0.3595535877074401,0.3231950244098606,0.5512167405663825,0.40987210345263986,0.3477978980415474,243.6171625316496,279.96786048788107
processed_500Hz_0014_epo,0.5148460609343165,0.6462378913401138,0.872242976141498,0.24899999639802867,0.47698094059762786,0.4444884865352535,0.33276730553667955,-151.71889426226318,-115.72724936674456
processed_500Hz_0015_epo,0.5419118504145372,0.7978456614433578,0.5454424882998167,0.2956741255351971,0.5571519590014389,0.4132975039977225,0.27545212537113734,48.127333974411634,84.96616529674583
processed_500Hz_0016_epo,0.5,0.7690220397375782,0.3127867099227022,0.30215141212678787,0.4926900148622743,0.44907746722114805,0.2706754843360028,-68.80124805549995,-31.998780451305485
processed_500Hz_0017_epo,0.5999998275834362,0.5960366609007239,1.4398570933301156,0.4529995710639768,0.5260004945668573,0.40297620512232873,0.2830104063650859,-249.40554395847468,-212.78778364049256
processed_500Hz_0018_epo,0.5119123217536985,0.7380114291446045,0.4241259834633476,0.3185634853238777,0.49188181304151557,0.5013513663313697,0.3586074283216002,23.96403505400073,60.619128793810376
processed_500Hz_0019_epo,0.573574616103009,0.8446706699169475,0.2163860782089752,0.2611772210212472,0.4365063364657812,0.11273431226933774,0.2815324938981339,-109.1268405894462,-72.66043751955625
processed_500Hz_0020_epo,0.5,0.6215198055981679,0.5838934320380771,0.2668022880499203,0.4838915640163627,0.25725160980005135,0.22884057779539177,-207.82821745614083,-171.96046960031802
processed_500Hz_0021_epo,0.5857498658077532,0.7188005242973766,0.4060597913248602,0.24677899237268452,0.4195064067726883,0.3301479232533203,0.2404235897470394,-73.85264317841364,-37.197549438604
processed_500Hz_0022_epo,0.5018438268785402,0.8564098480600689,0.27930188498305986,0.2631968618928304,0.4589343281722291,0.316866080854833,0.32612717433251437,-72.11020446570083,-35.45511072589119
processed_500Hz_0023_epo,0.5222878647589777,0.6088343566458423,0.4016188876067118,0.2801820582823632,0.46223286504446426,0.20771454168466766,0.23328503282237364,-208.01530895537957,-171.32307984996208
processed_500Hz_0024_epo,0.5177485817574892,0.61310117637175,1.3770996340338841,0.2713587078145498,0.3998602044156836,0.25307183370738656,0.2935326728968728,-352.9984655237522,-317.1307176679294
processed_500Hz_0025_epo,0.6181684326361175,0.7263864181687011,0.5162559406564878,0.2826119940817348,0.40850915738192983,0.2828087253520815,0.24739513561887091,-150.06621435687492,-113.67673513801414
