sbj,b0,delta,t0,G2,BIC
processed_500Hz_0001_epo,0.6023951893949976,0.17272536912319353,0.2989999903087819,87.85982974422281,101.39240826377336
processed_500Hz_0002_epo,0.5,0.47925419295339644,0.29138695583493013,-7.741830284798049,5.982302650712099
processed_500Hz_0003_epo,0.5142377280624677,0.63793597005988,0.27668050818511347,14.911452937753909,28.27449482651443
processed_500Hz_0004_epo,0.5978928157193943,0.6155540195008675,0.41563526797403794,67.06893587177466,80.1003521373357
processed_500Hz_0005_epo,0.5,0.23740804220832265,0.28548185914066904,-18.133912013323265,-4.701901569888644
processed_500Hz_0006_epo,0.5,1.074407784720465,0.43258167575003625,-11.124470081811836,2.374958929178959
processed_500Hz_0007_epo,0.5,0.4668074873091518,0.2785545832429764,-11.707403193321616,1.9224811534883965
processed_500Hz_0008_epo,0.7136018102784353,0.2543340307346244,0.2775901223881708,139.22983599676303,152.69574510595945
processed_500Hz_0009_epo,0.5566471450686136,0.35118916049404375,0.26499998441660266,75.85760351670085,89.581736452211
processed_500Hz_0010_epo,0.5687225340610279,0.15977170245313269,0.2834901709682018,73.75946576576703,87.25889477675783
processed_500Hz_0011_epo,0.6029535128061541,0.286924128037376,0.30784635849021524,92.22258404024988,105.6884931494463
processed_500Hz_0012_epo,0.5063001801533672,0.4578234463462513,0.2649999478350673,29.628080562772933,42.884602386162726
processed_500Hz_0013_epo,0.8066887936051447,0.3776399174107662,0.3236076630139542,163.61535275375186,176.87187457714165
processed_500Hz_0014_epo,0.5000009418877336,0.6183606309501779,0.2690000882251471,-1.2243711011492244,11.995786640643537
processed_500Hz_0015_epo,0.5737302362806044,0.44244716528546296,0.2776359966024023,70.57760229510178,84.23923296990341
processed_500Hz_0016_epo,0.5,0.49069224828138414,0.3169999986753255,-9.47502381523557,4.2491091202745785
processed_500Hz_0017_epo,0.5396966135636079,1.2293542623390243,0.47987972404715473,-2.7002918177053195,10.961338857096301
processed_500Hz_0018_epo,0.5076735265695513,0.3656029405125538,0.32138607039592276,22.275913057440462,35.84127878858759
processed_500Hz_0019_epo,0.5710586882293427,0.2991679514959251,0.2629999720056707,79.20996285133135,92.6076872072951
processed_500Hz_0020_epo,0.5,0.2402999262815451,0.2647581523527361,-11.871887604155928,1.0805767364530023
processed_500Hz_0021_epo,0.524462661400392,0.2693323668938394,0.28758610219824815,44.16993889903089,57.83156957383251
processed_500Hz_0022_epo,0.5,0.04927741107106466,0.2780000257572448,7.24577889983699,20.81114463098411
processed_500Hz_0023_epo,0.5283872742949881,0.26834143063590565,0.27597818721983614,51.118554493346075,64.71635297280585
processed_500Hz_0024_epo,0.5104900843108778,1.4036922388751705,0.27494575774120905,-24.25680530552709,-11.264605284668098
processed_500Hz_0025_epo,0.5499060637008653,0.5124229155599034,0.32872166713742057,48.8310985266008,62.33052753759159
