,True_model,G2_ddm,G2_ct_ddm,BIC_ddm,BIC_ct_ddm,lambda,Best_model
0,CTDDM,-150.24066807336368,-307.8084173195309,-277.6662062481025,-279.2895049462499,0.6568144693642233,CTDDM
1,DDM,356.301452720032,712.6029050219973,735.4180353386888,741.1218173952783,1.837334553543041e-05,DDM
2,CTDDM,59.57525785881469,118.33139424718873,141.96564561625416,146.85030662046972,0.5489426128048891,DDM
3,CTDDM,693.652841313221,1344.9623662423878,1410.1208125250666,1373.4812786156688,0.2081819573120513,CTDDM
4,DDM,56.1759571735845,112.31061046468778,135.16704424579382,140.8295228379688,0.0066695510870246,DDM
5,CTDDM,-3.109771531748764,-115.54855662315056,16.595586835127275,-87.02964424986956,1.1483849415039165,CTDDM
6,CTDDM,88.60865480868432,171.9675776873508,200.03243951599345,200.4864900606318,0.3437839658070625,DDM
7,DDM,587.4457771216709,1174.8915542514817,1197.7066841419664,1203.4104666247626,0.0,DDM
8,CTDDM,57.07906283926975,104.87559249011264,136.9732555771643,133.39450486339365,0.4721852558060999,CTDDM
9,DDM,237.1587655078136,474.3175310138602,497.1326609142519,502.8364433871412,0.0,DDM
10,DDM,240.0619208781796,479.8222915308713,502.938971654984,508.34120390415234,0.0265594346116906,DDM
11,CTDDM,320.23630543070993,492.8314379767369,663.2877407600447,521.3503503500178,1.6157606748858773,CTDDM
12,CTDDM,-323.9565943560832,-664.2043536957591,-625.0980588135416,-635.6854413224781,0.5896229922390804,CTDDM
13,DDM,229.2252561123324,458.4505122229709,481.2656421232896,486.969424596252,0.0,DDM
14,CTDDM,-23.505276532824904,-73.82055641840344,-24.195423167025005,-45.30164404512244,1.9346422665032088,CTDDM
15,CTDDM,-39.621919261735016,-118.27568565182445,-56.42870862484523,-89.75677327854342,1.211822973613827,CTDDM
16,DDM,1012.100268346113,2024.200536696366,2047.0156665908507,2052.719449069647,0.0,DDM
17,CTDDM,10.272033578626257,-33.342925223938835,43.35919705587732,-4.82401285065783,0.975924720095416,CTDDM
18,DDM,642.6587284477697,1281.54227360892,1308.132586794164,1310.0611859822009,0.0183617447729492,DDM
19,DDM,362.7611132647675,725.4445532679192,748.3373564281599,753.9634656412002,0.104999336316742,DDM
20,CTDDM,-184.62617258591567,-417.54070124091305,-346.43721527320656,-389.02178886763204,1.999999946546895,CTDDM
21,DDM,-109.07463455779602,-218.3076098363063,-195.33413921696723,-189.7886974630253,0.0200957523365397,DDM
22,CTDDM,-366.9164599124056,-749.1599839871109,-711.0177899261864,-720.6410716138299,0.8768780526545671,CTDDM
23,CTDDM,75.41636623306982,68.7159405138775,173.64786236476445,97.2348528871585,2.0,CTDDM
24,DDM,612.2733870423375,1224.5467781578407,1247.3619039832997,1253.0656905311216,2.140624153264378e-07,DDM
25,DDM,389.48153078977754,778.9630593900798,801.7781914781799,807.4819717633608,0.0,DDM
26,CTDDM,-144.2080744263246,-319.2432415582326,-265.6010189540244,-290.7243291849516,1.3668797712573135,CTDDM
27,DDM,548.5261158120817,1097.0522316604247,1119.867361522788,1125.5711440337057,0.0,DDM
28,CTDDM,255.72327764472783,375.28180397797877,534.2616851880805,403.8007163512598,1.069063517193725,CTDDM
29,CTDDM,0.7515052235632567,-52.594302184072,24.318140345751317,-24.075389810790995,1.2844163642188982,CTDDM
30,CTDDM,808.3430186619578,1512.4646374224858,1639.5011672225403,1540.9835497957667,0.5787722794880701,CTDDM
31,CTDDM,-372.4335759695988,-744.8671519383472,-722.0520220405728,-716.3482395650663,0.0,DDM
32,CTDDM,239.4060463334705,478.8120926163691,501.62722256556583,507.3310049896501,0.0,DDM
33,CTDDM,-370.1091975336514,-740.2628690102498,-717.403265168678,-711.7439566369688,0.16025750829931687,DDM
34,CTDDM,-584.261915071229,-1173.4340681865235,-1145.7087002438334,-1144.9151558132426,0.673335496283562,DDM
35,DDM,295.3771650894249,589.667714385231,613.5694600774747,618.1866267585119,0.10276251573890542,DDM
36,DDM,-288.6201621847626,-577.2403248572789,-554.4251944709004,-548.7214124839979,0.0,DDM
37,DDM,455.3856820871548,910.7713711973436,933.5864940729344,939.2902835706245,0.00013125211274662442,DDM
38,DDM,440.418548202628,880.8370956729004,903.6522263038809,909.3560080461814,9.282053430552074e-06,DDM
39,DDM,614.2880047494239,1228.4545426003515,1251.3911393974724,1256.9734549736324,0.007603198140681833,DDM
